RazaoSocial,UF,Total_Despesas,Media_Trimestral,Variabilidade_Std
UNIMED CARUARU-COOPERATIVA DE TRABALHO MEDICO,PE,3479887847.84,17486873.60723618,46915419.54760867
UNIMED SUL CAPIXABA COOPERATIVA DE TRABALHO MÉDICO,ES,3451882242.09,14382842.675375002,40952253.158076935
UNIMED NOVA FRIBURGO-SOC.COOP.SERV.MED.HOSP.LTDA.,RJ,3425158475.84,13431994.022901962,36235275.772568844
UNIMED UBERABA COOPERATIVA DE TRABALHO MEDICO LTDA.,MG,3406208063.61,12709731.58063433,35323149.45616731
UNIMED DE SANTA BÁRBARA D'OESTE E AMERICANA - COOP DE TRABALHO MÉDICO,SP,3314747334.49,11086111.486588627,33690353.50125146
UNIMED NOVA IGUACU COOPERATIVA DE TRABALHO MEDICO,RJ,3267389516.86,19923106.810121953,46574830.4382447
UNIMED DE MARILIA COOPERATIVA DE TRABALHO MÉDICO,SP,3183902869.84,7353124.410715936,28025189.02503033
UNIMED VALE DO SÃO FRANCISCO COOPERATIVA DE TRABALHO MÉDICO,PE,3160924263.83,14048552.283688888,38638221.974189036
METRUS INSTITUTO DE SEGURIDADE SOCIAL,SP,3155418368.89,20623649.46986928,53405628.86202854
UNIMED PONTA GROSSA COOPERATIVA DE TRABALHO MEDICO,PR,3155028492.02,14743123.79448598,34047388.77825691
LEVE SAUDE OPERADORA DE PLANOS DE SAUDE S.A,RJ,3139331329.49,16350684.007760415,40607346.94422014
SOBAM CENTRO MÉDICO HOSPITALAR S.A.,SP,3051170909.64,18951372.109565217,53875821.13335803
SAMEL PLANO DE SAÚDE LTDA,AM,3000731949.0099998,37983948.721645564,79858460.29917409
FUNDAÇÃO COPEL DE PREVIDÊNCIA E ASSISTÊNCIA SOCIAL,PR,2967653327.35,17770379.20568862,46473274.17747095
UNIMED DE ARARAQUARA - COOP. DE TRAB. MÉDICO,SP,2964912293.03,19506001.92782895,42736234.53473048
MEDISERVICE OPERADORA DE PLANOS DE SAÚDE S.A.,SP,2964574766.89,42351068.09842857,81852353.36573802
UNIMED REGIONAL DA BAIXA MOGIANA - COOPERATIVA DE TRABALHO MÉDICO,SP,2944534865.7,10630089.767870035,35922871.408195
UNIMED FRANCA - SOCIEDADE COOPERATIVA DE SERVIÇOS MÉDICOS E HOSPITALARES,SP,2923685293.69,7420521.049974619,27691143.22923599
REAL GRANDEZA - FUNDAÇÃO DE PREVIDÊNCIA E ASSISTÊNCIA SOCIAL,RJ,2900637366.73,14288854.023300493,37698288.05387677
COOPERATIVA CENTRAL UNIMED DE COOPERATIVAS DE ASSISTÊNCIA À SAÚDE DO RIO GRANDE DO SUL LTDA.,RS,2796273433.25,9049428.58656958,30568168.936255775
UNIMED DE CRICIÚMA COOPERATIVA DE TRABALHO MÉDICO DA REGIÃO CARBONÍFERA,SC,2779599773.2400002,6697830.778891567,24717702.263725128
CAIXA DE PREVIDÊNCIA E ASSISTÊNCIA DOS SERVIDORES DA FUNDAÇÃO NACIONAL DE SAÚDE - CAPESESP,RJ,2737837763.4900002,26580949.16009709,60309170.70966841
FUNDAÇÃO CHESF DE ASSISTÊNCIA E SEGURIDADE SOCIAL,PE,2715332052.02,28284708.875208333,65420876.62693641
ASSOCIACAO DOS AUDITORES FISCAIS DA RECEITA ESTADUAL DE SAO PAULO,SP,2674421640.37,34732748.57623377,73036647.8966936
UNIMED GOVERNADOR VALADARES COOP. DE TRABALHO MÉDICO LTDA.,MG,2668288846.67,11402943.789188035,30573568.395461917
COOPERATIVA DE TRABALHO MÉDICO DE POUSO ALEGRE,MG,2652884903.83,9407393.275992908,28231064.8674996
ASSOCIAÇÃO SANTA SAÚDE,SP,2631434171.01,19348780.669191178,48741290.229198895
ASSOCIAÇÃO DE SAÚDE PORTUGUESA DE BENEFICÊNCIA,SP,2618692786.4700003,24939931.29971429,49066564.84547405
UNIMED DO CEARÁ - FEDERAÇÃO DAS SOCIEDADES COOPERATIVAS MÉDICAS DO ESTADO DO CEARÁ LTDA.,CE,2558057577.06,19379224.06863636,43985493.74134886
UNIMED SANTA MARIA/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA,RS,2472427249.59,10301780.206625002,28008465.659482904
UNIMED SALTO/ITU - COOPERATIVA MÉDICA,SP,2468448218.79,8040547.943941368,24326534.262749583
ALVORECER - ASSOCIAÇÃO DE SOCORROS MÚTUOS,SP,2430689645.39,33759578.408194445,62616155.4598214
KLINI PLANOS DE SAÚDE LTDA,RJ,2382189063.56,23128049.160776697,46390634.894827165
UNIMED CHAPECÓ - COOPERATIVA DE TRABALHO MÉDICO DA REGIÃO OESTE CATARINENSE,SC,2333100398.73,11903573.462908164,27562892.09462558
PROMÉDICA - PROTEÇÃO MEDICA A EMPRESAS S.A.,BA,2305050149.33,28110367.674756095,58536764.09745678
UNIMED PATOS DE MINAS COOPERATIVA TRABALHO MÉDICO LTDA.,MG,2303370549.22,9032825.683215685,24862540.13221322
"SERVIÇO SOCIAL DA INDÚSTRIA DO PAPEL, PAPELÃO E CORTIÇA DO ESTADO DE SÃO PAULO - SEPACO",SP,2257727937.35,34734275.959230766,54931127.0070015
UNIMED DE CAMPOS COOPERATIVA DE TRABALHO MÉDICO,RJ,2248039552.82,9525591.325508475,25132327.41537965
UNIMED RONDONOPOLIS COOPERATIVA DE TRABALHO MÉDICO LTDA,MT,2231787806.2,6583444.856047197,20937631.538988326
CAIXA DE ASSISTÊNCIA À SAÚDE - CABERJ,RJ,2209397349.65,13554584.967177914,31043589.34552014
CIRCULO OPERARIO CAXIENSE,RS,2193516716.35,12606417.91005747,30961234.15154935
UNIMED ANHANGUERA COOPERATIVA DE TRABALHO MÉDICO,SP,2134481559.97,10164197.904619047,29244384.209906127
UNIMED DE GUARULHOS COOPERATIVA DE TRABALHO MÉDICO,SP,2112691649.59,9389740.664844444,24694739.059457377
AUSTACLINICAS ASSISTÊNCIA MÉDICA E HOSPITALAR LTDA,SP,2091283609.25,12751729.324695121,30385952.908337962
UNIMED DO SUDOESTE COOPERATIVA DE TRABALHO MEDICO LTDA,BA,2056970954.8700001,9142093.132755555,23833890.315980524
AMPLA PLANOS DE SAUDE LTDA,RJ,2049270545.33,42693136.361041665,63647927.94995197
2CARE OPERADORA DE SAÚDE LTDA.,SP,2022218203.57,17137442.403135594,41400364.193181284
UNIMED AMPARO COOPERATIVA DE TRABALHO MÉDICO,SP,1994675747.3999999,8345923.629288702,21856884.13732609
UNIMED RIO VERDE COOPERATIVA TRABALHO MEDICO,GO,1986211825.98,8275882.6082500005,21740884.4829381
INTEGRA ASSISTENCIA MEDICA SA,SP,1978400688.99,43008710.63021739,58885440.643675014
UNIMED DE BOTUCATU COOPERATIVA DE TRABALHO MÉDICO,SP,1944554592.46,11644039.475808384,29598277.578061674
UNIMED LESTE PAULISTA COOPERATIVA DE TRABALHO MÉDICO,SP,1944381217.06,5804123.035999999,20702154.36639012
FUNDAÇÃO CELESC DE SEGURIDADE SOCIAL - CELOS,SC,1936420705.07,12102629.4066875,29682555.066149298
UNIMED DE LIMEIRA COOPERATIVA DE TRABALHO MÉDICO,SP,1929849765.42,8654034.822511211,24796325.75398336
ASSOCIAÇÃO DR. BARTHOLOMEU TACCHINI,RS,1902001179.61,12851359.321689188,31356888.162691213
UNIMED PETROPOLIS-RJ COOPERATIVA DE TRABALHO MÉDICO,RJ,1859378961.52,8688686.736074766,19869846.591158126
UNIMED DE BEBEDOURO COOPERATIVA DE TRABALHO MÉDICO,SP,1852273344.57,9035479.729609756,23095429.180926327
UNIMED COSTA OESTE - COOPERATIVA DE TRABALHO MÉDICO,PR,1819405193.64,6640164.940291971,19187217.607664403
ABERTTA SAÚDE - ASSOCIAÇÃO BENEFICENTE DOS EMPREGADOS DA ARCELORMITTAL NO BRASIL,MG,1811168188.02,9055840.9401,21262440.488413323
ASSOCIAÇÃO EVANGELICA BENEFICENTE DE LONDRINA,PR,1810759975.75,7838787.773809524,20372285.367139474
UNIMED PELOTAS/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.,RS,1775449107.53,10030785.918248588,23446676.768941995
S.P.A SAUDE- SISTEMA DE PROMOÇÃO ASSISTENCIAL,SP,1768232035.7,13098015.07925926,27869110.85595445
UNIMED DE DOURADOS COOPERATIVA DE TRABALHO MÉDICO LTDA,MS,1733108807.1200001,6823263.020157481,17033415.363536537
UNIMED DE TUBARAO - COOPERATIVA DE TRABALHO MEDICO DA REGIAO DA AMUREL,SC,1724041616.9,4431983.591002571,13994788.34348328
UNIMED DE ARACATUBA - COOPERATIVA DE TRABALHO MÉDICO,SP,1700939114.05,5707849.376006711,15886512.834444113
SERMED-SAÚDE LTDA.,SP,1694658067.6200001,7773660.860642202,24394099.75677319
UNIMED NOROESTE/RS - SOCIEDADE COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.,RS,1694317274.72,6516604.902769231,18536793.37382889
UNIMED RIO BRANCO COOPERATIVA DE TRABALHO MEDICO LTDA,AC,1665025032.3500001,6330893.659125476,18064143.46708068
IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE PIRACICABA,SP,1650081489.6,19186994.06511628,40118144.20119685
UNIMED NOROESTE CAPIXABA COOPERATIVA DE TRABALHO MÉDICO.,ES,1626636958.11,9036871.9895,20288225.94554748
FUNDAÇÃO SANEPAR DE ASSISTÊNCIA SOCIAL,PR,1611445917.94,12025715.805522388,30626187.0877598
UNIMED PATO BRANCO SOCIEDADE COOPERATIVA DE MÉDICOS,PR,1607018533.49,5268913.224557377,16879004.112196244
UNIMED PLANALTO MÉDIO/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.,RS,1596814920.36,9448608.996213017,18158458.970953465
SÃO LUCAS SAÚDE S/A,SP,1593938750.94,16603528.655625,35846243.62430653
ECONOMUS INSTITUTO DE SEGURIDADE SOCIAL,SP,1508870429.71,11430836.588712122,23208949.613839414
UNIMED DE RIO CLARO SP COOPERATIVA DE TRABALHO MEDICO,SP,1492244091.26,4077169.648251366,15222333.832454655
SANTA CASA DE MISERICÓRDIA DE JUIZ DE FORA,MG,1483721005.22,9047079.300121952,20372169.399521656
UNIMED ANÁPOLIS COOPERATIVA DE TRABALHO MÉDICO.,GO,1469329846.28,5014777.632354949,13535684.343476752
UNIMED MONTES CLAROS COOPERATIVA DE  TRABALHO MÉDICO LTDA.,MG,1406179213.59,7400943.229421052,15070990.685457785
UNIMED DE OURINHOS - COOPERATIVA DE TRABALHO MÉDICO,SP,1402786574.84,8251685.734352941,19745452.3694705
PLANO DE SAÚDE DA SANTA CASA DE BRAGANÇA PAULISTA,SP,1387113506.03,10274914.859481482,24830950.293618694
UNIMED VARGINHA COOPERATIVA DE TRABALHO MÉDICO,MG,1354699828.18,5230501.267104248,13703522.59162491
UNIMED TEOFILO OTONI COOPERATIVA DE TRABALHO MÉDICO,MG,1347562309.56,9167090.541224489,17932732.540306266
MÚTUA DOS MAGISTRADOS DO ESTADO DO RIO DE JANEIRO,RJ,1346042629.7,21365756.02698413,29565293.93941941
UNIMED PALMAS COOPERATIVA DE TRABALHO MÉDICO,TO,1342233285.06,5687429.1739830505,13101404.389848346
UNIMED REGIONAL DE CAMPO MOURÃO COOP TRAB MEDICO ,PR,1334169886.83,7941487.421607142,18135160.159695387
UNIMED ENCOSTA DA SERRA/RS SOCIEDADE COOPERATIVA DE SERVIÇOS DE SAÚDE LTDA.,RS,1268556223.1,7207705.813068181,16512524.29269465
UNIMED METROPOLITANA DO AGRESTE - COOPERATIVA DE TRABALHO MÉDICO,AL,1237745012.14,5730300.98212963,14602114.515770597
UNIMED COSTA DO DESCOBRIMENTO COOPERATIVA DE TRABALHO MÉDICO,BA,1236177467.32,6307027.894489796,16056303.864551593
UNIMED CONSELHEIRO LAFAIETE COOPERATIVA DE TRABALHO MÉDICO LTDA,MG,1195600776.81,4066669.308877551,11468756.965053871
UNIMED NORTE CAPIXABA- COOPERATIVA DE TRABALHO MÉDICO,ES,1180613608.09,5045357.299529914,13808489.956237657
CAIXA DE ASSISTENCIA A SAUDE DA UNIVERSIDADE,MG,1172794059.39,10565712.246756759,24006368.60527604
UNIMED GUARAPUAVA COOPERATIVA DE TRABALHO MÉDICO,PR,1158133648.28,5013565.576969697,11687140.444517765
ASSOCIAÇÃO ADVENTISTA NORTE BRASILEIRA DE PREVENÇÃO E ASSISTÊNCIA A SAÚDE,PA,1150870801.63,14946374.04714286,26781311.113460016
BENEFICENCIA CAMILIANA DO SUL,SP,1150192564.79,14559399.554303797,29674334.26234012
UNIMED DE CATANDUVA - COOPERATIVA DE TRABALHO MÉDICO,SP,1145533824.13,5328064.29827907,12788532.480181271
SIM - CAIXA DE ASSISTÊNCIA À SAÚDE,SC,1139452670.61,10173684.559017856,21559754.58315605
UNIMED VALE DO CAÍ/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.,RS,1122896537.11,5477544.083463415,13688953.9609533
ASSOCIAÇÃO DA SANTA CASA SAÚDE DE RIBEIRÃO PRETO,SP,1114895744.26,8137925.140583942,16596786.4207752
IRMANDADE SANTA CASA DE MISERICÓRDIA DE MARINGÁ,PR,1100131821.81,7143713.128636363,16879223.488542575
UNIMED DE ASSIS COOPERATIVA DE TRABALHO MÉDICO,SP,1099629662.55,3383475.8847692306,10288901.755909475
UNIMED BARRA DO GARÇAS - COOPERATIVA DE TRABALHO MÉDICO,MT,1099372054.46,3777910.8400687287,10779652.162192294
SELECT OPERADORA DE PLANO DE SAUDE LTDA,GO,1060200447.75,11278728.167553192,23994915.636542853
UNIMED EXTREMO SUL COOPERATIVA DE TRABALHO MÉDICO,BA,1046039413.29,4865299.596697674,11730696.363704527
UNIMED POÇOS DE CALDAS - SOC. COOP. DE TRAB. E SERVIÇOS MÉDICOS,MG,1042750822.84,4965480.108761905,13964554.272960924
FUNDAÇAO COMPESA DE PREVIDENCIA E ASSISTENCIA - COMPESAPREV,PE,1041264814.76,8899699.271452991,21740101.39860107
UNIMED DE BARRA MANSA SOC. COOP. SERV.MED.E HOSPIT.,RJ,1032785651.95,6931447.328523491,15470120.858779285
UNIMED CURVELO COOPERATIVA DE TRABALHO MÉDICO LTDA.,MG,1025623826.24,3770675.831764706,10684238.010800542
UNIMED INCONFIDENTES COOPERATIVA DE TRABALHO MÉDICO LTDA.,MG,1024556596.38,4699800.900825688,12331077.664851204
ASSOCIAÇÃO SÃO FRANCISCO VIDA,SP,1023018893.62,10029596.99627451,22375790.002168793
LUMINAR SAÚDE - ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE,DF,996138787.17,5413797.756358695,13681126.078364715
UNIMED DE PARANAGUÁ COOPERATIVA DE TRABALHO MÉDICO,PR,992781139.27,5577422.1307303365,12276049.981304107
UNIMED NORTE FLUMINENSE COOPERATIVA DE TRABALHO MEDICO,RJ,991341083.43,5763610.950174418,11941995.301235305
UNIMED RESENDE COOPERATIVA DE TRABALHO MÉDICO,RJ,973667956.08,5830347.04239521,13603648.324065642
UNIMED DE SÃO ROQUE - COOPERATIVA DE TRABALHO MÉDICO,SP,973077722.4,4964682.257142857,12283167.638693018
UNIMED DE PARANAVAÍ COOPERATIVA DE TRABALHO MÉDICO,PR,942464478.15,4960339.35868421,10889622.960164765
UNIMED MISSÕES/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.,RS,939956578.31,5053529.990913978,11679001.90279017
ASSOCIAÇÃO PADRE ALBINO SAÚDE,SP,937258079.99,10187587.82597826,19999369.769304916
IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE RIO CLARO,SP,931316551.66,5857336.802893082,14863693.653419252
AMESC - ASSOCIAÇÃO MÉDICA ESPÍRITA CRISTÃ,RJ,923118491.01,7155957.294651163,17562526.317102946
CAIXA ASSISTENCIAL E BENEFICENTE DOS FUNCIONÁRIOS DA ACARESC,SC,910839540.47,6952973.591374046,15911044.51718277
AMEPLAN ASSISTÊNCIA MÉDICA PLANEJADA LTDA,SP,900666300.11,10352486.20816092,14068774.93968196
ASSOCIAÇÃO DOS SERVIDORES FISCAIS DO ESTADO DA BAHIA,BA,879410005.69,10108160.98494253,20800432.047621682
UNIMED REGIONAL SUL GOIAS COOP. DE TRABALHO MÉDICO LTDA,GO,877344167.02,5042207.856436782,10857365.896897245
ELOSAÚDE - ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE,SC,867402410.29,5421265.0643125,12963578.648874318
UNIMED OESTE DO PARANA - COOPERATIVA DE TRABALHO MEDICO,PR,866393524.72,2987563.878344828,8763261.800633648
ASSOCIAÇÃO BENEFICENTE DOS PROFESSORES PÚBLICOS ATIVOS E INATIVOS DO RIO DE JANEIRO - APPAI,RJ,864693300.35,13725290.481746033,23208951.17673411
UNIMED VALE DO AÇO COOPERATIVA DE TRABALHO MÉDICO,MG,861668662.95,6068089.175704226,13302526.485632835
UNIMED APUCARANA COOPERATIVA DE TRABALHO MÉDICO,PR,861608634.13,5128622.822202381,11502409.40622646
FUNDAÇÃO DE SEGURIDADE SOCIAL DA ARCELORMITTAL BRASIL - FUNSSEST,ES,848964940.73,12128070.581857143,21426440.971242707
UNIMED DE JABOTICABAL COOP. DE TRABALHO MÉDICO,SP,839417417.09,3850538.610504587,10286790.465938762
ASSOCIAÇÃO SANTA CASA SAÚDE DE ARAÇATUBA,SP,837170400.58,5136014.727484663,11113644.087269854
ASSOCIAÇAO DOS FUNCIONARIOS PUBLICOS DO ESTADO DO RIO GRANDE DO SUL,RS,832877121.62,7058280.691694915,15430581.11962318
UNIMED JOÃO MONLEVADE COOPERATIVA DE TRABALHO MÉDICO LTDA.,MG,825794225.13,3970164.543894231,9781855.010845006
AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL,MG,818176181.23,6342451.017286822,15328508.87314163
UNIMED PARÁ DE MINAS COOPERATIVA DE TRABALHO MÉDICO LTDA.,MG,808813709.1899999,3301280.445673469,8771388.71994124
UNIMED SÃO JOÃO DEL REI - COOPERATIVA DE TRABALHO MÉDICO,MG,808495665.08,3340891.178016529,8925197.184572158
CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DA SANEAGO,GO,807202585.13,9965464.013950618,20045695.630434614
UNIMED ARAXÁ COOPERATIVA DE TRABALHO MÉDICO LTDA.,MG,793315050.09,3557466.592331839,8093171.164349175
UNIMED OESTE DO PARÁ - COOPERATIVA DE TRABALHO MÉDICO,PA,791616576.54,14136010.295357142,19609047.559571113
UNIMED ITABIRA COOPERATIVA DE TRABALHO MÉDICO,MG,790611302.14,6427734.163739838,11128790.255011544
CAIXA DE ASSISTÊNCIA DOS SERVIDORES FAZENDÁRIOS ESTADUAIS,CE,790157914.03,13623412.310862068,24151413.068302516
UNIMED DE CAÇAPAVA - COOPERATIVA DE TRABALHO MEDICO,SP,778863195.21,2884678.5007777778,7649906.063145942
SAMI ASSISTÊNCIA MÉDICA LTDA,SP,769034958.5500001,9047470.100588236,17284034.34224737
ASSISTÊNCIA MÉDICA SÃO MIGUEL LTDA,SP,768382467.96,13023431.660338983,20481949.060127977
